model_version,treatment,feature,method,importance,direction_note
v1.0,New Season Edit,tenure_months,Permutation importance,0.0,Higher absolute importance indicates stronger effect on predicted conversion under this treatment.
v1.0,New Season Edit,recency_days,Permutation importance,0.0,Higher absolute importance indicates stronger effect on predicted conversion under this treatment.
v1.0,New Season Edit,historical_spend,Permutation importance,0.0,Higher absolute importance indicates stronger effect on predicted conversion under this treatment.
v1.0,New Season Edit,purchase_frequency,Permutation importance,0.0,Higher absolute importance indicates stronger effect on predicted conversion under this treatment.
v1.0,New Season Edit,digital_engagement,Permutation importance,0.0,Higher absolute importance indicates stronger effect on predicted conversion under this treatment.
v1.0,New Season Edit,email_engagement,Permutation importance,0.0,Higher absolute importance indicates stronger effect on predicted conversion under this treatment.
v1.0,New Season Edit,prior_campaign_response,Permutation importance,0.0,Higher absolute importance indicates stronger effect on predicted conversion under this treatment.
v1.0,New Season Edit,category_affinity,Permutation importance,0.0,Higher absolute importance indicates stronger effect on predicted conversion under this treatment.
v1.0,New Season Edit,performance_affinity,Permutation importance,0.0,Higher absolute importance indicates stronger effect on predicted conversion under this treatment.
v1.0,New Season Edit,lifestyle_affinity,Permutation importance,0.0,Higher absolute importance indicates stronger effect on predicted conversion under this treatment.
v1.0,New Season Edit,days_since_visit,Permutation importance,0.0,Higher absolute importance indicates stronger effect on predicted conversion under this treatment.
v1.0,New Season Edit,primary_channel,Permutation importance,0.0,Higher absolute importance indicates stronger effect on predicted conversion under this treatment.
v1.0,New Season Edit,loyalty_tier,Permutation importance,0.0,Higher absolute importance indicates stronger effect on predicted conversion under this treatment.
v1.0,New Season Edit,customer_type,Permutation importance,0.0,Higher absolute importance indicates stronger effect on predicted conversion under this treatment.
v1.0,New Season Edit,region,Permutation importance,0.0,Higher absolute importance indicates stronger effect on predicted conversion under this treatment.
v1.0,New Season Edit,market_type,Permutation importance,0.0,Higher absolute importance indicates stronger effect on predicted conversion under this treatment.
v1.0,New Season Edit,tenure_months,Standardized coefficient,0.08659449440427266,Positive coefficient increases conversion probability under this treatment; negative decreases it. Not causal proof.
v1.0,New Season Edit,recency_days,Standardized coefficient,-0.07877933197692005,Positive coefficient increases conversion probability under this treatment; negative decreases it. Not causal proof.
v1.0,New Season Edit,historical_spend,Standardized coefficient,0.08701713045793497,Positive coefficient increases conversion probability under this treatment; negative decreases it. Not causal proof.
v1.0,New Season Edit,purchase_frequency,Standardized coefficient,-0.11288621932262763,Positive coefficient increases conversion probability under this treatment; negative decreases it. Not causal proof.
v1.0,New Season Edit,digital_engagement,Standardized coefficient,-0.010638789006801302,Positive coefficient increases conversion probability under this treatment; negative decreases it. Not causal proof.
v1.0,New Season Edit,email_engagement,Standardized coefficient,0.2885355164247641,Positive coefficient increases conversion probability under this treatment; negative decreases it. Not causal proof.
v1.0,New Season Edit,prior_campaign_response,Standardized coefficient,0.087842887634673,Positive coefficient increases conversion probability under this treatment; negative decreases it. Not causal proof.
v1.0,New Season Edit,category_affinity,Standardized coefficient,0.2631385601251457,Positive coefficient increases conversion probability under this treatment; negative decreases it. Not causal proof.
v1.0,New Season Edit,performance_affinity,Standardized coefficient,0.10855933126717238,Positive coefficient increases conversion probability under this treatment; negative decreases it. Not causal proof.
v1.0,New Season Edit,lifestyle_affinity,Standardized coefficient,0.11902907656621704,Positive coefficient increases conversion probability under this treatment; negative decreases it. Not causal proof.
v1.0,New Season Edit,days_since_visit,Standardized coefficient,-0.0682059907619052,Positive coefficient increases conversion probability under this treatment; negative decreases it. Not causal proof.
v1.1,New Season Edit,tenure_months,Standardized coefficient,0.03356476362247312,Positive coefficient increases conversion probability under this treatment; negative decreases it. Not causal proof.
v1.1,New Season Edit,tenure_months,Permutation importance,-0.001523915968751296,Higher absolute importance indicates stronger effect on predicted conversion under this treatment.
v1.1,New Season Edit,recency_days,Standardized coefficient,-0.09209522227704078,Positive coefficient increases conversion probability under this treatment; negative decreases it. Not causal proof.
v1.1,New Season Edit,recency_days,Permutation importance,0.011141895989773554,Higher absolute importance indicates stronger effect on predicted conversion under this treatment.
v1.1,New Season Edit,historical_spend,Standardized coefficient,0.03936304454186163,Positive coefficient increases conversion probability under this treatment; negative decreases it. Not causal proof.
v1.1,New Season Edit,historical_spend,Permutation importance,0.004050946578635404,Higher absolute importance indicates stronger effect on predicted conversion under this treatment.
v1.1,New Season Edit,purchase_frequency,Standardized coefficient,-0.13409927686673787,Positive coefficient increases conversion probability under this treatment; negative decreases it. Not causal proof.
v1.1,New Season Edit,purchase_frequency,Permutation importance,0.011233277151463779,Higher absolute importance indicates stronger effect on predicted conversion under this treatment.
v1.1,New Season Edit,digital_engagement,Standardized coefficient,-0.017874259408813997,Positive coefficient increases conversion probability under this treatment; negative decreases it. Not causal proof.
v1.1,New Season Edit,digital_engagement,Permutation importance,-0.0014331470225855143,Higher absolute importance indicates stronger effect on predicted conversion under this treatment.
v1.1,New Season Edit,email_engagement,Standardized coefficient,0.3002455863421281,Positive coefficient increases conversion probability under this treatment; negative decreases it. Not causal proof.
